"V1","V2","V3","V4","LOF","Mahalanobis","kMeans","ChiSq","BoxPlot","MAD","threeSigma","activeLearning","oracle","labeled"
5.1,3.5,1.4,0.2,"no","no","no","no","no","no","no","yes","yes","no"
4.9,3,1.4,0.2,"no","no","no","no","no","no","no","yes","yes","no"
4.7,3.2,1.3,0.2,"no","no","no","no","no","no","no","yes","no","no"
4.6,3.1,1.5,0.2,"no","no","no","no","no","no","no","yes","yes","no"
5,3.6,1.4,0.2,"no","no","no","no","no","no","no","yes","yes","no"
5.4,3.9,1.7,0.4,"yes","no","yes","no","no","yes","no","yes","no","yes"
4.6,3.4,1.4,0.3,"no","no","no","no","no","no","no","yes","no","no"
5,3.4,1.5,0.2,"no","no","no","no","no","no","no","yes","no","no"
4.4,2.9,1.4,0.2,"yes","no","yes","no","no","no","no","yes","yes","yes"
4.9,3.1,1.5,0.1,"no","no","no","no","no","no","no","yes","no","no"
5.4,3.7,1.5,0.2,"no","no","no","no","no","no","no","yes","yes","no"
4.8,3.4,1.6,0.2,"no","no","no","no","no","no","no","yes","no","no"
4.8,3,1.4,0.1,"no","no","no","no","no","no","no","yes","no","no"
4.3,3,1.1,0.1,"yes","no","yes","no","no","no","no","yes","yes","yes"
5.8,4,1.2,0.2,"yes","yes","yes","no","no","yes","no","yes","yes","yes"
5.7,4.4,1.5,0.4,"yes","yes","yes","yes","yes","yes","yes","yes","no","no"
5.4,3.9,1.3,0.4,"yes","yes","yes","no","no","yes","no","yes","yes","yes"
5.1,3.5,1.4,0.3,"no","no","no","no","no","no","no","yes","yes","no"
5.7,3.8,1.7,0.3,"yes","yes","yes","no","no","yes","no","yes","yes","yes"
5.1,3.8,1.5,0.3,"yes","no","no","no","no","yes","no","yes","yes","yes"
5.4,3.4,1.7,0.2,"yes","no","no","no","no","no","no","yes","no","no"
5.1,3.7,1.5,0.4,"yes","no","no","no","no","no","no","yes","no","no"
4.6,3.6,1,0.2,"yes","no","no","no","no","no","no","yes","yes","no"
5.1,3.3,1.7,0.5,"yes","no","no","no","no","no","no","yes","yes","no"
4.8,3.4,1.9,0.2,"yes","yes","no","no","no","no","no","yes","yes","yes"
5,3,1.6,0.2,"no","no","no","no","no","no","no","yes","yes","no"
5,3.4,1.6,0.4,"yes","no","no","no","no","no","no","yes","yes","no"
5.2,3.5,1.5,0.2,"no","no","no","no","no","no","no","yes","yes","no"
5.2,3.4,1.4,0.2,"no","no","no","no","no","no","no","yes","yes","no"
4.7,3.2,1.6,0.2,"no","no","no","no","no","no","no","yes","no","no"
4.8,3.1,1.6,0.2,"no","no","no","no","no","no","no","yes","yes","no"
5.4,3.4,1.5,0.4,"yes","yes","no","no","no","no","no","yes","yes","yes"
5.2,4.1,1.5,0.1,"yes","yes","yes","no","yes","yes","no","yes","no","yes"
5.5,4.2,1.4,0.2,"yes","yes","yes","no","yes","yes","no","yes","yes","yes"
4.9,3.1,1.5,0.1,"no","no","no","no","no","no","no","yes","no","no"
5,3.2,1.2,0.2,"yes","no","no","no","no","no","no","yes","no","no"
5.5,3.5,1.3,0.2,"yes","yes","no","no","no","no","no","yes","yes","yes"
4.9,3.1,1.5,0.1,"no","no","no","no","no","no","no","yes","yes","no"
4.4,3,1.3,0.2,"no","no","yes","no","no","no","no","yes","yes","no"
5.1,3.4,1.5,0.2,"no","no","no","no","no","no","no","yes","no","no"
5,3.5,1.3,0.3,"no","no","no","no","no","no","no","yes","no","no"
4.5,2.3,1.3,0.3,"yes","yes","yes","no","no","no","no","yes","yes","yes"
4.4,3.2,1.3,0.2,"no","no","yes","no","no","no","no","yes","no","no"
5,3.5,1.6,0.6,"yes","no","no","no","no","no","no","yes","no","no"
5.1,3.8,1.9,0.4,"yes","yes","no","no","no","yes","no","yes","yes","yes"
4.8,3,1.4,0.3,"no","no","no","no","no","no","no","yes","no","no"
5.1,3.8,1.6,0.2,"yes","yes","no","no","no","yes","no","yes","yes","yes"
4.6,3.2,1.4,0.2,"no","no","no","no","no","no","no","yes","yes","no"
5.3,3.7,1.5,0.2,"no","no","no","no","no","no","no","yes","no","no"
5,3.3,1.4,0.2,"no","no","no","no","no","no","no","yes","no","no"
7,3.2,4.7,1.4,"no","yes","yes","no","no","no","no","no","no","yes"
6.4,3.2,4.5,1.5,"no","no","no","no","no","no","no","yes","no","no"
6.9,3.1,4.9,1.5,"no","no","yes","no","no","no","no","no","no","no"
5.5,2.3,4,1.3,"no","no","no","no","no","no","no","yes","no","no"
6.5,2.8,4.6,1.5,"no","no","no","no","no","no","no","yes","yes","no"
5.7,2.8,4.5,1.3,"no","no","no","no","no","no","no","yes","no","no"
6.3,3.3,4.7,1.6,"no","no","no","no","no","no","no","no","no","no"
4.9,2.4,3.3,1,"yes","yes","yes","no","no","no","no","yes","yes","no"
6.6,2.9,4.6,1.3,"no","no","no","no","no","no","no","yes","no","no"
5.2,2.7,3.9,1.4,"yes","no","no","no","no","no","no","yes","yes","no"
5,2,3.5,1,"yes","yes","yes","no","yes","yes","no","yes","no","no"
5.9,3,4.2,1.5,"no","no","no","no","no","no","no","yes","no","no"
6,2.2,4,1,"yes","yes","yes","no","no","yes","no","yes","yes","no"
6.1,2.9,4.7,1.4,"no","no","no","no","no","no","no","yes","no","no"
5.6,2.9,3.6,1.3,"yes","no","no","no","no","no","no","yes","no","no"
6.7,3.1,4.4,1.4,"no","no","yes","no","no","no","no","yes","no","no"
5.6,3,4.5,1.5,"no","no","yes","no","no","no","no","yes","yes","no"
5.8,2.7,4.1,1,"no","no","no","no","no","no","no","yes","yes","no"
6.2,2.2,4.5,1.5,"yes","yes","yes","no","no","yes","no","yes","no","yes"
5.6,2.5,3.9,1.1,"no","no","no","no","no","no","no","yes","yes","no"
5.9,3.2,4.8,1.8,"no","no","no","no","no","no","no","no","no","no"
6.1,2.8,4,1.3,"no","no","no","no","no","no","no","yes","no","no"
6.3,2.5,4.9,1.5,"no","no","no","no","no","no","no","yes","yes","no"
6.1,2.8,4.7,1.2,"no","yes","no","no","no","no","no","yes","yes","no"
6.4,2.9,4.3,1.3,"no","no","no","no","no","no","no","yes","yes","no"
6.6,3,4.4,1.4,"no","no","no","no","no","no","no","yes","no","no"
6.8,2.8,4.8,1.4,"no","yes","no","no","no","no","no","yes","yes","no"
6.7,3,5,1.7,"no","no","no","no","no","no","no","no","no","no"
6,2.9,4.5,1.5,"no","no","no","no","no","no","no","yes","yes","no"
5.7,2.6,3.5,1,"yes","no","no","no","no","no","no","yes","yes","no"
5.5,2.4,3.8,1.1,"no","no","no","no","no","no","no","yes","no","no"
5.5,2.4,3.7,1,"no","no","no","no","no","no","no","yes","yes","no"
5.8,2.7,3.9,1.2,"no","no","no","no","no","no","no","yes","yes","no"
6,2.7,5.1,1.6,"no","no","no","no","no","no","no","yes","yes","no"
5.4,3,4.5,1.5,"yes","yes","yes","no","no","no","no","yes","yes","yes"
6,3.4,4.5,1.6,"yes","no","yes","no","no","no","no","yes","yes","yes"
6.7,3.1,4.7,1.5,"no","no","no","no","no","no","no","no","yes","no"
6.3,2.3,4.4,1.3,"yes","yes","yes","no","no","no","no","yes","yes","yes"
5.6,3,4.1,1.3,"no","no","no","no","no","no","no","yes","yes","no"
5.5,2.5,4,1.3,"no","no","no","no","no","no","no","yes","yes","no"
5.5,2.6,4.4,1.2,"no","yes","no","no","no","no","no","yes","yes","no"
6.1,3,4.6,1.4,"no","no","no","no","no","no","no","yes","no","no"
5.8,2.6,4,1.2,"no","no","no","no","no","no","no","yes","yes","no"
5,2.3,3.3,1,"yes","yes","yes","no","no","no","no","yes","yes","no"
5.6,2.7,4.2,1.3,"no","no","no","no","no","no","no","yes","no","no"
5.7,3,4.2,1.2,"no","no","no","no","no","no","no","yes","no","no"
5.7,2.9,4.2,1.3,"no","no","no","no","no","no","no","yes","no","no"
6.2,2.9,4.3,1.3,"no","no","no","no","no","no","no","yes","no","no"
5.1,2.5,3,1.1,"yes","yes","yes","no","no","no","no","yes","yes","yes"
5.7,2.8,4.1,1.3,"no","no","no","no","no","no","no","yes","no","no"
6.3,3.3,6,2.5,"yes","yes","yes","yes","no","no","no","no","no","yes"
5.8,2.7,5.1,1.9,"no","no","no","no","no","no","no","yes","yes","no"
7.1,3,5.9,2.1,"no","no","no","no","no","no","no","no","yes","no"
6.3,2.9,5.6,1.8,"no","no","yes","no","no","no","no","yes","yes","no"
6.5,3,5.8,2.2,"no","no","no","no","no","no","no","no","no","no"
7.6,3,6.6,2.1,"no","yes","yes","no","no","no","no","no","yes","yes"
4.9,2.5,4.5,1.7,"yes","yes","yes","no","no","no","no","yes","yes","yes"
7.3,2.9,6.3,1.8,"no","yes","yes","no","no","no","no","no","yes","yes"
6.7,2.5,5.8,1.8,"yes","no","yes","no","no","no","no","yes","no","yes"
7.2,3.6,6.1,2.5,"yes","yes","yes","yes","no","no","no","no","no","yes"
6.5,3.2,5.1,2,"no","no","no","no","no","no","no","no","no","no"
6.4,2.7,5.3,1.9,"no","no","no","no","no","no","no","no","yes","no"
6.8,3,5.5,2.1,"no","no","no","no","no","no","no","no","no","no"
5.7,2.5,5,2,"yes","yes","yes","no","no","no","no","yes","no","yes"
5.8,2.8,5.1,2.4,"yes","yes","yes","no","no","no","no","no","yes","yes"
6.4,3.2,5.3,2.3,"no","yes","yes","no","no","no","no","no","no","no"
6.5,3,5.5,1.8,"no","no","no","no","no","no","no","yes","yes","no"
7.7,3.8,6.7,2.2,"yes","yes","yes","no","no","yes","no","no","no","yes"
7.7,2.6,6.9,2.3,"yes","yes","yes","yes","no","no","no","no","no","yes"
6,2.2,5,1.5,"yes","yes","yes","no","no","yes","no","yes","yes","yes"
6.9,3.2,5.7,2.3,"no","no","no","no","no","no","no","no","yes","no"
5.6,2.8,4.9,2,"no","yes","yes","no","no","no","no","yes","no","no"
7.7,2.8,6.7,2,"no","yes","yes","no","no","no","no","no","no","no"
6.3,2.7,4.9,1.8,"no","no","no","no","no","no","no","yes","no","no"
6.7,3.3,5.7,2.1,"no","no","no","no","no","no","no","no","no","no"
7.2,3.2,6,1.8,"yes","yes","no","no","no","no","no","no","yes","no"
6.2,2.8,4.8,1.8,"no","no","no","no","no","no","no","no","no","no"
6.1,3,4.9,1.8,"no","no","no","no","no","no","no","yes","yes","no"
6.4,2.8,5.6,2.1,"no","no","no","no","no","no","no","no","yes","no"
7.2,3,5.8,1.6,"yes","yes","no","no","no","no","no","yes","no","no"
7.4,2.8,6.1,1.9,"no","yes","yes","no","no","no","no","no","no","no"
7.9,3.8,6.4,2,"yes","yes","yes","yes","no","yes","no","no","yes","no"
6.4,2.8,5.6,2.2,"no","no","yes","no","no","no","no","no","no","no"
6.3,2.8,5.1,1.5,"no","no","no","no","no","no","no","yes","yes","no"
6.1,2.6,5.6,1.4,"yes","yes","yes","no","no","no","no","yes","yes","yes"
7.7,3,6.1,2.3,"no","yes","yes","no","no","no","no","no","no","no"
6.3,3.4,5.6,2.4,"yes","yes","yes","no","no","no","no","no","no","yes"
6.4,3.1,5.5,1.8,"no","no","yes","no","no","no","no","yes","yes","no"
6,3,4.8,1.8,"no","no","no","no","no","no","no","yes","no","no"
6.9,3.1,5.4,2.1,"no","no","no","no","no","no","no","no","no","no"
6.7,3.1,5.6,2.4,"no","yes","no","no","no","no","no","no","no","no"
6.9,3.1,5.1,2.3,"no","yes","yes","no","no","no","no","no","no","no"
5.8,2.7,5.1,1.9,"no","no","no","no","no","no","no","yes","no","no"
6.8,3.2,5.9,2.3,"no","no","no","no","no","no","no","no","yes","no"
6.7,3.3,5.7,2.5,"no","yes","no","yes","no","no","no","no","yes","no"
6.7,3,5.2,2.3,"no","yes","yes","no","no","no","no","no","yes","no"
6.3,2.5,5,1.9,"no","yes","no","no","no","no","no","no","no","no"
6.5,3,5.2,2,"no","no","no","no","no","no","no","no","yes","no"
6.2,3.4,5.4,2.3,"yes","yes","yes","no","no","no","no","no","no","yes"
5.9,3,5.1,1.8,"no","no","no","no","no","no","no","yes","yes","no"
